Stock,Year,Month,Stock Splits
AROW,2019,Sep,1.03
ARR,2015,Aug,0.125
ARTNA,2003,Jul,1.5
ARTNA,2006,Jul,1.5
ARTW,2008,Jul,2.0
ARWR,2004,Jan,0.015384615384615385
ARWR,2011,Nov,0.1
ASB,2000,May,1.1
ASB,2002,Apr,1.1
ASB,2004,May,1.5
ASFI,2004,Mar,2.0
ASGN,2000,Apr,2.0
ASH,2000,Mar,1.0565240359218173
ASH,2005,Jul,1.2177301509985388
ASH,2017,May,2.044
ASMB,2014,Jul,0.2
ASML,2000,Apr,3.0
ASML,2007,Oct,0.8888888888888888
ASML,2012,Nov,0.77
ASNA,2002,Jun,2.0
ASNA,2006,Apr,2.0
ASNA,2012,Apr,2.0
ASNA,2019,Dec,0.05
ASPU,2017,Jan,0.08333333333333333
ASTC,2007,Nov,0.1
ASTC,2017,Oct,0.2
ASTE,1999,Jan,2.0
ASUR,2009,Dec,0.1
ASUR,2012,May,1.5
ASX,2001,Jul,1.17
ASX,2003,Aug,1.1
ASX,2004,Aug,1.0574
ASX,2005,Sep,1.0998
ASX,2007,Aug,1.1479
ASX,2008,Aug,1.029
ASX,2010,Jul,1.09
ASX,2011,Aug,1.0
ASX,2012,Aug,1.0
ASX,2018,Apr,1.0
ASYS,1999,Mar,0.5
AT,2014,Jul,31.0
ATEC,2016,Aug,0.08333333333333333
ATHE,2016,Mar,0.16666666666666666
ATI,1999,Nov,0.5
ATLO,2005,Jul,3.0
ATNI,2006,Apr,2.5
ATOS,2016,Aug,0.06666666666666667
ATOS,2018,Apr,0.08333333333333333
ATR,2007,May,2.0
ATRO,2000,Oct,1.0
ATRO,2011,Aug,1.1
ATRO,2012,Oct,1.15
ATRO,2013,Oct,1.249
ATRO,2014,Sep,1.202
ATRO,2015,Oct,1.15
ATRO,2016,Oct,1.15
ATRO,2018,Oct,1.182
ATRS,1999,Jan,0.2
ATV,2015,Nov,0.15
ATVI,2001,Nov,1.5
ATVI,2003,Jun,1.5
ATVI,2004,Mar,1.5
ATVI,2005,Mar,1.3333333333333333
ATVI,2005,Oct,1.3333333333333333
ATVI,2008,Sep,2.0
AUB,2006,Oct,1.5
AUDC,2000,Oct,2.0
AUTO,2012,Jul,0.2
AVB,2013,Jan,0.8888888888888888
AVD,2000,Mar,1.1
AVD,2001,Mar,1.1
AVD,2002,Apr,1.3333333333333333
AVD,2003,Apr,1.5
AVD,2004,Apr,1.5
AVD,2005,Apr,2.0
AVD,2006,Apr,1.3333333333333333
AVGR,2018,Jan,0.025
AVGR,2019,Jun,0.1
AVNW,2016,Jun,0.08333333333333333
AVT,2000,Sep,2.0
AVXL,2015,Oct,0.25
AWR,2002,Jun,1.5
AWR,2013,Sep,2.0
AX,2015,Nov,4.0
AXGT,2019,May,0.125
AXP,2000,May,3.0
AXP,2005,Oct,1.1424654404204273
AXS,2014,Sep,5.0
AYI,2008,Feb,1.0
AYI,2008,May,1.0
AYTU,2015,Jun,0.082
AYTU,2016,Jul,0.08333333333333333
AYTU,2017,Aug,0.05
AYTU,2018,Aug,0.05
AZN,2015,Jul,2.0
AZZ,2007,May,2.0
AZZ,2012,Jul,2.0
B,2006,Jun,2.0
BAC,2004,Aug,2.0
BAM,2004,Jun,1.5
BAM,2006,Apr,1.5
BAM,2007,Jun,2.5
BAM,2012,May,1.1234074295426946
BAM,2013,Apr,1.033
BAM,2015,May,1.5
BAM,2016,Jun,1.016
BANF,2006,Mar,2.0
BANF,2017,Aug,2.0
BANF,2017,Jul,2.0
BANR,2000,Oct,1.1
BANR,2011,Jun,0.14285714285714285
BAP,2014,Apr,1.039
BAX,2001,May,2.0
BAX,2015,Jul,1.841
BB,2004,Jun,2.0
BB,2007,Aug,3.0
BBAR,2009,Sep,1.138
BBBY,2000,Aug,2.0
BBD,2004,Dec,3.0
BBD,2004,Mar,0.5
BBD,2005,Dec,2.0
BBD,2007,Apr,2.0
BBD,2008,Apr,1.5
BBD,2010,Jan,1.0
BBD,2010,Jul,1.1
BBD,2013,Mar,1.1
BBD,2015,Mar,1.2
BBD,2016,Apr,1.1
BBD,2017,May,1.1
BBD,2018,Apr,1.1
BBD,2019,Apr,1.0
BBDO,2013,Mar,1.1
BBDO,2015,Mar,1.2
BBDO,2016,Apr,1.1
BBDO,2017,May,1.1
BBDO,2018,Apr,2.2
BBDO,2019,Apr,1.2
BBI,2016,May,0.1
BBI,2019,Sep,0.14285714285714285
BBSI,2005,May,1.5
BBSI,2013,Dec,0.5
BBVA,2009,Apr,1.0161
BBVA,2011,Mar,1.0169491525423728
BBVA,2012,Apr,1.0212765957446808
BBY,1999,Mar,2.0
BBY,2002,May,1.5
BBY,2005,Aug,1.5
BC,2005,Feb,1.0
BCBP,2003,Oct,1.1
BCBP,2004,Nov,1.25
BCBP,2005,Oct,1.25
BCDA,2001,Aug,0.3333333333333333
BCDA,2004,Jan,6.0
BCDA,2008,Mar,0.1
BCDA,2017,Nov,0.16666666666666666
BCDA,2019,Jun,0.1111111111111111
BCEI,2017,May,0.008961537082840448
BCH,2006,May,1.0
BCH,2007,May,1.0
BCH,2009,May,1.03
BCH,2011,Apr,1.0
BCH,2012,Jun,1.01892
BCH,2013,May,1.0203
BCH,2014,Jul,1.023
BCH,2015,Jul,1.02
BCH,2016,Jul,1.0223
BCH,2017,Jul,1.02
BCH,2018,Jul,1.02
BCH,2018,Nov,3.0
BCLI,2014,Sep,0.06666666666666667
BCOR,1999,May,2.0
BCOR,2000,Apr,2.0
BCOR,2000,Jan,2.0
BCOR,2002,Sep,0.1
BCPC,2005,Jan,1.5
BCPC,2006,Jan,1.5
BCPC,2007,Jan,1.5
BCPC,2010,Jan,1.5
BCS,2002,May,4.0
BCS,2013,Sep,1.085
BCS,2014,Feb,1.0136986301369864
BCTF,2016,Oct,2.0473
BDC,2000,Aug,1.5
BDC,2004,Jul,0.5
BDGE,2004,Jul,1.5
BDL,1999,Apr,2.0
BECN,2006,Jun,1.5
BELFA,1999,Dec,2.0
BELFB,1999,Dec,2.0
BEN,2013,Jul,3.0
BGCP,2018,Dec,1.555
BGG,2004,Nov,2.0
BH,1999,Dec,1.1
BH,2009,Dec,0.05
BH,2013,Aug,1.077
BH,2014,Aug,1.077
BH,2018,Apr,1.0
BH,2018,May,1.0
BHB,1999,Jan,2.0
BHB,2014,May,1.5
BHB,2017,Mar,1.5
BHC,2000,Jan,4.0
BHC,2000,Oct,2.0
BHE,2003,Nov,1.5
BHE,2006,Apr,1.5
BHP,2001,Jul,2.0651
BHR,2019,Oct,1.01
BIDU,2010,May,10.0
BIIB,1999,Dec,2.0
BIIB,2001,Jan,3.0
BIMI,2009,Aug,0.3333333333333333
BIMI,2010,Sep,0.4
BIO,2002,Mar,2.0
BIOC,2016,Sep,0.3333333333333333
BIOC,2018,Jul,0.03333333333333333
BIOL,2011,Aug,1.01
BIOL,2011,Jun,1.01
BIOL,2011,Mar,1.01
BIOL,2011,Nov,1.01
BIOL,2012,Dec,1.005
BIOL,2012,Jun,1.005
BIOL,2012,Mar,1.005
BIOL,2012,Sep,1.005
BIOL,2013,Aug,1.004
BIOL,2013,Dec,1.004
BIOL,2013,Jun,1.004
BIOL,2013,Mar,1.005
BIOL,2014,Mar,1.005
BIOL,2018,May,0.2
BIP,2016,Sep,1.5
BK,2007,Jul,0.9434
BKD,2015,Apr,1.6666666666666667
BKE,2007,Jan,1.5
BKE,2008,Oct,1.5
BKE,2014,Jan,1.0241
BKNG,2003,Jun,0.16666666666666666
BKSC,2003,Jun,1.1
BKSC,2005,Apr,1.1
BKSC,2006,May,1.25
BKSC,2010,Sep,1.1
BKSC,2018,Apr,1.1
BKYI,2015,Feb,0.5
BKYI,2016,Dec,0.08333333333333333
BLFS,2000,Jun,0.2
BLFS,2014,Jan,0.07142857142857142
BLIN,2015,May,0.2
BLIN,2017,Jul,0.2
BLIN,2019,May,0.02
BLK,2007,Jun,1.0
BLL,2002,Feb,2.0
BLL,2004,Aug,2.0
BLL,2011,Feb,2.0
BLL,2017,May,2.0
BLNK,2011,Feb,0.02
BLNK,2017,Aug,0.02
BLRX,2019,Jul,0.06666666666666667
BLU,2012,May,0.03333333333333333
BLU,2019,Aug,0.277
BMI,2004,Dec,2.0
BMI,2006,Jun,2.0
BMI,2016,Sep,2.0
BMO,2001,Mar,2.0
BMRA,2016,Apr,1.0
BMRC,2000,Apr,1.05
BMRC,2001,Apr,1.05
BMRC,2002,Apr,1.05
BMRC,2003,Apr,1.05
BMRC,2004,May,1.5
BMRC,2005,Apr,1.05
BMRC,2006,Apr,1.05
BMRC,2018,Nov,2.0
BMTC,2003,Oct,2.0
BMY,1999,Mar,2.0
BMY,2001,Aug,1.0506662800214757
BNS,2004,Apr,2.0
