Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2016-01-01,63.28,63.37,48.47,49.72,237308200.0,0.0,0.0,AXP,2016,Jan
2016-02-01,49.86,52.41,46.93,51.88,159711400.0,0.0,0.0,AXP,2016,Feb
2016-03-01,52.3,57.43,51.92,57.31,129864200.0,0.0,0.0,AXP,2016,Mar
2016-04-01,56.92,62.86,54.79,61.08,99858200.0,0.0,0.0,AXP,2016,Apr
2016-05-01,61.51,61.95,58.45,61.68,96794800.0,0.0,0.0,AXP,2016,May
2016-06-01,61.68,62.47,53.61,56.99,121804700.0,0.0,0.0,AXP,2016,Jun
2016-07-01,57.28,61.25,54.91,60.77,90064900.0,0.0,0.0,AXP,2016,Jul
2016-08-01,60.79,62.48,59.58,61.82,77514100.0,0.0,0.0,AXP,2016,Aug
2016-09-01,61.79,62.89,59.25,60.37,95572800.0,0.0,0.0,AXP,2016,Sep
2016-10-01,60.17,64.04,56.09,62.61,116243400.0,0.0,0.0,AXP,2016,Oct
2016-11-01,63.26,69.33,61.61,68.25,99527200.0,0.0,0.0,AXP,2016,Nov
2016-12-01,68.64,71.76,67.68,70.19,75948200.0,0.0,0.0,AXP,2016,Dec
2017-01-01,70.95,73.92,70.81,72.37,103904900.0,0.0,0.0,AXP,2017,Jan
2017-02-01,73.12,76.59,72.37,76.18,65816600.0,0.0,0.0,AXP,2017,Feb
2017-03-01,77.12,78.02,72.95,75.27,98700800.0,0.0,0.0,AXP,2017,Mar
2017-04-01,75.33,77.45,71.85,75.41,77893800.0,0.0,0.0,AXP,2017,Apr
2017-05-01,75.69,76.11,72.58,73.51,66075700.0,0.0,0.0,AXP,2017,May
2017-06-01,73.78,81.58,73.52,80.48,77500300.0,0.0,0.0,AXP,2017,Jun
2017-07-01,80.91,82.43,79.61,81.43,71355200.0,0.0,0.0,AXP,2017,Jul
2017-08-01,82.21,84.18,80.53,82.57,66408400.0,0.0,0.0,AXP,2017,Aug
2017-09-01,82.77,87.05,80.58,86.75,64969800.0,0.0,0.0,AXP,2017,Sep
2017-10-01,86.73,92.18,86.35,91.6,77019400.0,0.0,0.0,AXP,2017,Oct
2017-11-01,92.7,94.82,89.32,94.07,61227900.0,0.0,0.0,AXP,2017,Nov
2017-12-01,94.42,96.78,92.27,95.61,65046400.0,0.0,0.0,AXP,2017,Dec
