date,exchange_rate
2011-11-14,50.3748444249
2011-11-15,50.6798699379
2011-11-16,50.754968852
2011-11-17,50.9451038576
2011-11-18,51.2551561579
2011-11-19,51.2551561579
2011-11-20,51.2551561579
2011-11-21,52.3049487294
2011-11-22,52.3753232361
2011-11-23,52.4747889744
2011-11-24,52.0346967771
2011-11-25,52.2397762491
2011-11-26,52.2397762491
2011-11-27,52.2397762491
2011-11-28,52.0347617621
2011-11-29,52.0553389322
2011-11-30,52.2551796095
2011-12-01,51.3697005633
2011-12-02,51.1050255347
2011-12-03,51.1050255347
2011-12-04,51.1050255347
2011-12-05,51.3747954173
2011-12-06,51.3147678065
2011-12-07,51.717126411
2011-12-08,51.7248322148
2011-12-09,52.0748655111
2011-12-10,52.0748655111
2011-12-11,52.0748655111
2011-12-12,52.8616708173
2011-12-13,53.1901980123
2011-12-14,53.9351958747
2011-12-15,53.537138029
2011-12-16,52.6997856705
2011-12-17,52.6997856705
2011-12-18,52.6997856705
2011-12-19,52.9350410308
2011-12-20,52.9753709653
2011-12-21,52.685000766
2011-12-22,52.629723308
2011-12-23,52.8551734702
2011-12-24,52.8551734702
2011-12-25,52.8551734702
2011-12-26,52.8551734702
2011-12-27,52.9374856531
2011-12-28,52.8973535261
2011-12-29,53.0522150671
2011-12-30,53.1053404436
2011-12-31,53.1053404436
2012-01-01,53.1053404436
2012-01-02,53.3049864708
2012-01-03,53.1197172276
2012-01-04,52.9294099475
2012-01-05,52.9247194514
2012-01-06,52.7246399499
2012-01-07,52.7246399499
2012-01-08,52.7246399499
2012-01-09,52.5023570082
2012-01-10,51.7949718926
2012-01-11,51.8650731247
2012-01-12,51.5201005025
2012-01-13,51.4478114478
2012-01-14,51.4478114478
2012-01-15,51.4478114478
2012-01-16,51.4247375483
2012-01-17,50.6473807662
2012-01-18,50.3990335905
2012-01-19,50.2803810704
2012-01-20,50.2813517284
2012-01-21,50.2813517284
2012-01-22,50.2813517284
2012-01-23,49.9946224168
2012-01-24,50.1053603015
2012-01-25,50.2449389584
2012-01-26,50.2449600609
2012-01-27,49.3952073032
2012-01-28,49.3952073032
2012-01-29,49.3952073032
2012-01-30,49.7597254005
2012-01-31,49.4353369763
2012-02-01,49.165085389
2012-02-02,49.1446464029
2012-02-03,48.8047112462
2012-02-04,48.8047112462
2012-02-05,48.8047112462
2012-02-06,49.0553596074
2012-02-07,49.3449248837
2012-02-08,49.1449450053
2012-02-09,49.3550571945
2012-02-10,49.4897262871
2012-02-11,49.4897262871
2012-02-12,49.4897262871
2012-02-13,49.1496906594
2012-02-14,49.4046624649
2012-02-15,49.3751909563
2012-02-16,49.3953165922
2012-02-17,49.2400638346
2012-02-18,49.2400638346
2012-02-19,49.2400638346
2012-02-20,49.1346298809
2012-02-21,49.3299047043
2012-02-22,49.1390778534
2012-02-23,49.1503759398
2012-02-24,49.0053683269
2012-02-25,49.0053683269
2012-02-26,49.0053683269
2012-02-27,49.2851807589
2012-02-28,49.0850304742
2012-02-29,48.9548463885
2012-03-01,49.2750901442
2012-03-02,49.4597866384
2012-03-03,49.4597866384
2012-03-04,49.4597866384
2012-03-05,49.7950075643
2012-03-06,50.3847031096
2012-03-07,50.4047256098
2012-03-08,50.4049992448
2012-03-09,49.7953149875
2012-03-10,49.7953149875
2012-03-11,49.7953149875
2012-03-12,49.9847549356
2012-03-13,49.9747262005
2012-03-14,50.0252641249
2012-03-15,50.3752776289
2012-03-16,50.1349496798
2012-03-17,50.1349496798
2012-03-18,50.1349496798
2012-03-19,50.2152091255
2012-03-20,50.4576450977
2012-03-21,50.6752362949
2012-03-22,51.2250322777
2012-03-23,51.2747319136
2012-03-24,51.2747319136
2012-03-25,51.2747319136
2012-03-26,51.2051822838
2012-03-27,50.7747693692
2012-03-28,50.779785559
2012-03-29,51.3200723327
2012-03-30,50.9448936807
2012-03-31,50.9448936807
2012-04-01,50.9448936807
2012-04-02,50.8761919063
2012-04-03,50.7052196771
2012-04-04,51.0896362806
2012-04-05,51.1746250383
2012-04-06,51.1746250383
2012-04-07,51.1746250383
2012-04-08,51.1746250383
2012-04-09,51.1746250383
2012-04-10,51.4747597987
2012-04-11,51.4751351763
2012-04-12,51.5889911047
2012-04-13,51.3028597505
2012-04-14,51.3028597505
2012-04-15,51.3028597505
2012-04-16,51.6584766585
2012-04-17,51.4773073408
2012-04-18,51.8047811808
2012-04-19,52.1450405013
2012-04-20,52.0997574287
2012-04-21,52.0997574287
2012-04-22,52.0997574287
2012-04-23,52.5748229381
2012-04-24,52.6753286224
2012-04-25,52.5450552779
2012-04-26,52.5546727204
2012-04-27,52.5096379167
2012-04-28,52.5096379167
2012-04-29,52.5096379167
2012-04-30,52.7047071288
2012-05-01,52.7047071288
2012-05-02,52.8550757749
2012-05-03,53.4252838528
2012-05-04,53.4747182455
2012-05-05,53.4747182455
2012-05-06,53.4747182455
2012-05-07,52.9103046114
2012-05-08,53.1190019194
2012-05-09,53.8749034749
2012-05-10,53.337705424
2012-05-11,53.6348887515
2012-05-12,53.6348887515
2012-05-13,53.6348887515
2012-05-14,53.9648604525
2012-05-15,53.7646967219
2012-05-16,54.4952111791
2012-05-17,54.4850969879
2012-05-18,54.4674160836
2012-05-19,54.4674160836
2012-05-20,54.4674160836
2012-05-21,54.9803921569
2012-05-22,55.3446115288
2012-05-23,56.005213682
2012-05-24,55.6199729235
2012-05-25,55.4088952654
2012-05-26,55.4088952654
2012-05-27,55.4088952654
2012-05-28,55.1846251791
2012-05-29,55.6751577098
2012-05-30,56.2325132658
2012-05-31,56.1098121422
2012-06-01,55.607044311
2012-06-02,55.607044311
2012-06-03,55.607044311
2012-06-04,55.665353381
2012-06-05,55.6448628208
2012-06-06,55.3648378054
2012-06-07,54.9448193728
2012-06-08,55.4651908887
2012-06-09,55.4651908887
2012-06-10,55.4651908887
2012-06-11,55.7453762755
2012-06-12,55.8053154019
2012-06-13,55.5999680868
2012-06-14,55.8146761214
